institutional_sector,consolidation,transaction_type,period,assets_total,assets_currency_deposits,assets_debt_securities,assets_loans_total,assets_short_term_loans,assets_long_term_loans,assets_equity_investment_funds,liabilities_total,liabilities_currency_deposits,liabilities_debt_securities,liabilities_loans_total,liabilities_short_term_loans,liabilities_long_term_loans,liabilities_equity_investment_funds,net_worth
The non-financial corporations sector,Not consolidated,Financial transactions,2025*,53123,7927,-1093,-1664,7251,-8915,48109,17996,,2826,12648,15548,-2900,1624,35127
The non-financial corporations sector,Not consolidated,Financial transactions,2026 1st quarter*,33958,-3972,2285,-3115,-7315,4200,28051,20810,,4324,16907,10193,6714,4914,13148
The non-financial corporations sector,Not consolidated,Financial transactions,2026 2nd quarter*,34929,15660,-432,65,10274,-10209,11932,40634,,4439,13845,18613,-4768,15883,-5705
The non-financial corporations sector,Not consolidated,Other changes,2015,51421,2944,62,36916,14564,22352,15563,89364,,3067,39684,15278,24406,45827,-37943
The non-financial corporations sector,Not consolidated,Other changes,2016,3410,1132,-2241,8475,5743,2732,-4481,39234,,-3918,8844,5782,3062,36098,-35824
The non-financial corporations sector,Not consolidated,Other changes,2017,-81030,-5221,-204,-35845,-19436,-16409,-38768,-12083,,-6781,-44504,-21294,-23210,44884,-68947
The non-financial corporations sector,Not consolidated,Other changes,2018,47369,1134,-86,11297,3325,7972,36849,82,,-5891,14550,2871,11679,-7820,47287
The non-financial corporations sector,Not consolidated,Other changes,2019,26341,727,57,2597,1945,652,20735,165805,,230,4486,2283,2203,160296,-139464
The non-financial corporations sector,Not consolidated,Other changes,2020,-68474,33897,-405,-13256,-3526,-9730,-89513,-33633,,895,2454,-4415,6869,-37712,-34841
The non-financial corporations sector,Not consolidated,Other changes,2021,303206,4281,-953,74127,21111,53016,218347,568911,,-1278,88713,33906,54807,481331,-265705
The non-financial corporations sector,Not consolidated,Other changes,2022,88106,1996,-446,13069,596,12473,71415,20790,,-14432,11594,4238,7356,21978,67316
The non-financial corporations sector,Not consolidated,Other changes,2023,-207545,-2100,-15,-14498,8091,-22589,-183650,-10027,,7716,-56004,-1408,-54596,42895,-197518
The non-financial corporations sector,Not consolidated,Other changes,2024,41691,1264,216,4126,1461,2665,37869,101587,,9192,5545,2674,2871,87702,-59896
The non-financial corporations sector,Not consolidated,Other changes,2025*,-79338,-4795,-402,-10760,-3709,-7051,-64586,103649,,-5386,-11492,-4598,-6894,119729,-182987
The non-financial corporations sector,Not consolidated,Other changes,2026 1st quarter*,4263,560,147,292,61,231,2996,89320,,-2541,876,637,239,91875,-85057
The non-financial corporations sector,Not consolidated,Other changes,2026 2nd quarter*,-3906,61,-70,-7142,4276,-11418,2176,340962,,-2858,332,4382,-4050,343167,-344868
The non-financial corporations sector,Not consolidated,Price changes and revaluations,2015,51534,2921,62,34284,14066,20218,15563,88024,,815,41194,15905,25289,45464,-36490
The non-financial corporations sector,Not consolidated,Price changes and revaluations,2016,2166,-249,-2091,8476,5743,2733,-4481,40106,,-3918,9895,5577,4318,35957,-37940
The non-financial corporations sector,Not consolidated,Price changes and revaluations,2017,-82832,-5149,-204,-35753,-19436,-16317,-40608,-12173,,-6792,-42736,-20695,-22041,43044,-70659
The non-financial corporations sector,Not consolidated,Price changes and revaluations,2018,43594,1175,-86,11229,3324,7905,33092,-2085,,-6141,15461,3071,12390,-10805,45679
The non-financial corporations sector,Not consolidated,Price changes and revaluations,2019,26325,688,57,2597,1945,652,20735,166291,,230,4950,2510,2440,160309,-139966
The non-financial corporations sector,Not consolidated,Price changes and revaluations,2020,-109625,-3147,-405,-13260,-3526,-9734,-93710,-51528,,895,-10927,-4215,-6712,-42248,-58097
The non-financial corporations sector,Not consolidated,Price changes and revaluations,2021,134710,3119,-1014,10154,-985,11139,115698,388033,,-188,8317,1687,6630,380039,-253323
The non-financial corporations sector,Not consolidated,Price changes and revaluations,2022,90545,2586,-362,12837,476,12361,73422,22032,,-14426,11083,4251,6832,23725,68513
The non-financial corporations sector,Not consolidated,Price changes and revaluations,2023,-15407,-1769,-15,-7301,-2242,-5059,874,169208,,8634,-5515,-901,-4614,170674,-184615
The non-financial corporations sector,Not consolidated,Price changes and revaluations,2024,41716,1837,216,3580,1522,2058,37937,101509,,9192,5545,2674,2871,87702,-59793
The non-financial corporations sector,Not consolidated,Price changes and revaluations,2025*,-80717,-3795,-402,-11257,-3727,-7530,-66468,103594,,-5385,-11492,-4598,-6894,119673,-184311
The non-financial corporations sector,Not consolidated,Price changes and revaluations,2026 1st quarter*,3815,560,147,-141,57,-198,2981,89322,,-2541,876,637,239,91877,-85507
The non-financial corporations sector,Not consolidated,Price changes and revaluations,2026 2nd quarter*,2905,61,-70,-340,-56,-284,2185,347744,,3924,332,171,161,343167,-344839
The non-financial corporations sector,Not consolidated,Other volume changes,2015,-113,23,0,2632,498,2134,0,1340,,2252,-1510,-627,-883,363,-1453
The non-financial corporations sector,Not consolidated,Other volume changes,2016,1244,1381,-150,-1,0,-1,0,-872,,0,-1051,205,-1256,141,2116
The non-financial corporations sector,Not consolidated,Other volume changes,2017,1802,-72,0,-92,0,-92,1840,90,,11,-1768,-599,-1169,1840,1712
The non-financial corporations sector,Not consolidated,Other volume changes,2018,3775,-41,0,68,1,67,3757,2167,,250,-911,-200,-711,2985,1608
The non-financial corporations sector,Not consolidated,Other volume changes,2019,16,39,0,0,0,0,0,-486,,0,-464,-227,-237,-13,502
The non-financial corporations sector,Not consolidated,Other volume changes,2020,41151,37044,0,4,0,4,4197,17895,,0,13381,-200,13581,4536,23256
The non-financial corporations sector,Not consolidated,Other volume changes,2021,168496,1162,61,63973,22096,41877,102649,180878,,-1090,80396,32219,48177,101292,-12382
The non-financial corporations sector,Not consolidated,Other volume changes,2022,-2439,-590,-84,232,120,112,-2007,-1242,,-6,511,-13,524,-1747,-1197
The non-financial corporations sector,Not consolidated,Other volume changes,2023,-192138,-331,0,-7197,10333,-17530,-184524,-179235,,-918,-50489,-507,-49982,-127779,-12903
The non-financial corporations sector,Not consolidated,Other volume changes,2024,-25,-573,0,546,-61,607,-68,78,,0,0,0,0,0,-103
The non-financial corporations sector,Not consolidated,Other volume changes,2025*,1379,-1000,0,497,18,479,1882,55,,-1,0,0,0,56,1324
The non-financial corporations sector,Not consolidated,Other volume changes,2026 1st quarter*,448,0,0,433,4,429,15,-2,,0,0,0,0,-2,450
The non-financial corporations sector,Not consolidated,Other volume changes,2026 2nd quarter*,-6811,0,0,-6802,4332,-11134,-9,-6782,,-6782,0,4211,-4211,0,-29
